map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
empty-48-48.map,2304,0,150,DCMAPF,True,4554,74,5.8
empty-48-48.map,2304,0,150,DCMAPF,True,5590,71,5.9
empty-48-48.map,2304,0,150,DCMAPF,True,5180,75,5.9
empty-48-48.map,2304,0,150,DCMAPF,True,5367,75,6.0
empty-48-48.map,2304,0,150,DCMAPF,True,5209,81,6.1
empty-48-48.map,2304,0,150,DCMAPF,True,5521,74,6.1
empty-48-48.map,2304,0,150,DCMAPF,True,5028,72,6.2
empty-48-48.map,2304,0,150,DCMAPF,True,5259,79,6.2
empty-48-48.map,2304,0,150,DCMAPF,True,5239,76,6.3
empty-48-48.map,2304,0,150,DCMAPF,True,4868,80,6.3
empty-48-48.map,2304,0,150,DCMAPF,True,5618,78,6.2
empty-48-48.map,2304,0,150,DCMAPF,True,5458,77,6.3
empty-48-48.map,2304,0,150,DCMAPF,True,5075,83,6.3
empty-48-48.map,2304,0,150,DCMAPF,True,5247,75,6.3
empty-48-48.map,2304,0,150,DCMAPF,True,5303,79,6.4
empty-48-48.map,2304,0,150,DCMAPF,True,5087,86,6.4
empty-48-48.map,2304,0,150,DCMAPF,True,5081,84,6.4
empty-48-48.map,2304,0,150,DCMAPF,True,5330,81,6.4
empty-48-48.map,2304,0,150,DCMAPF,True,5450,75,6.5
empty-48-48.map,2304,0,150,DCMAPF,True,5720,83,6.6
empty-48-48.map,2304,0,200,DCMAPF,True,6855,68,9.4
empty-48-48.map,2304,0,200,DCMAPF,True,7322,75,9.6
empty-48-48.map,2304,0,200,DCMAPF,True,7307,70,10.1
empty-48-48.map,2304,0,200,DCMAPF,True,7523,72,10.3
empty-48-48.map,2304,0,200,DCMAPF,True,7424,74,10.3
empty-48-48.map,2304,0,200,DCMAPF,True,6845,74,10.4
empty-48-48.map,2304,0,200,DCMAPF,True,7550,73,10.5
empty-48-48.map,2304,0,200,DCMAPF,True,6564,75,10.7
empty-48-48.map,2304,0,200,DCMAPF,True,7172,81,10.8
empty-48-48.map,2304,0,200,DCMAPF,True,7385,78,10.9
empty-48-48.map,2304,0,200,DCMAPF,True,6902,84,11.0
empty-48-48.map,2304,0,200,DCMAPF,True,7179,75,11.0
empty-48-48.map,2304,0,200,DCMAPF,True,6789,83,11.0
empty-48-48.map,2304,0,200,DCMAPF,True,7163,81,11.1
empty-48-48.map,2304,0,200,DCMAPF,True,6792,83,11.2
empty-48-48.map,2304,0,200,DCMAPF,True,7115,79,11.2
empty-48-48.map,2304,0,200,DCMAPF,True,7352,83,11.3
empty-48-48.map,2304,0,200,DCMAPF,True,7540,78,11.4
empty-48-48.map,2304,0,200,DCMAPF,True,7325,82,11.4
empty-48-48.map,2304,0,200,DCMAPF,True,7108,79,11.4
empty-48-48.map,2304,0,200,DCMAPF,True,7659,83,11.5
empty-48-48.map,2304,0,200,DCMAPF,True,7226,84,11.4
empty-48-48.map,2304,0,200,DCMAPF,True,7630,83,11.5
empty-48-48.map,2304,0,200,DCMAPF,True,7001,90,11.7
empty-48-48.map,2304,0,200,DCMAPF,True,7383,90,12.0
empty-48-48.map,2304,0,250,DCMAPF,True,8998,73,14.7
empty-48-48.map,2304,0,250,DCMAPF,True,9368,83,16.1
empty-48-48.map,2304,0,250,DCMAPF,True,9281,81,16.4
empty-48-48.map,2304,0,250,DCMAPF,True,9001,73,16.5
empty-48-48.map,2304,0,250,DCMAPF,True,8458,77,16.8
empty-48-48.map,2304,0,250,DCMAPF,True,9441,75,16.8
empty-48-48.map,2304,0,250,DCMAPF,True,9270,76,16.9
empty-48-48.map,2304,0,250,DCMAPF,True,9203,80,17.1
empty-48-48.map,2304,0,250,DCMAPF,True,9887,83,17.3
empty-48-48.map,2304,0,250,DCMAPF,True,9627,84,17.5
empty-48-48.map,2304,0,250,DCMAPF,True,9359,83,17.5
empty-48-48.map,2304,0,250,DCMAPF,True,9304,86,17.5
empty-48-48.map,2304,0,250,DCMAPF,True,9618,80,17.5
empty-48-48.map,2304,0,250,DCMAPF,True,9300,78,17.5
empty-48-48.map,2304,0,250,DCMAPF,True,9156,79,17.6
empty-48-48.map,2304,0,250,DCMAPF,True,9339,81,17.6
empty-48-48.map,2304,0,250,DCMAPF,True,9769,80,17.7
empty-48-48.map,2304,0,250,DCMAPF,True,8988,84,17.7
empty-48-48.map,2304,0,250,DCMAPF,True,8977,87,17.8
empty-48-48.map,2304,0,250,DCMAPF,True,9446,87,18.2
empty-48-48.map,2304,0,250,DCMAPF,True,9930,82,18.4
empty-48-48.map,2304,0,250,DCMAPF,True,9313,89,18.4
empty-48-48.map,2304,0,250,DCMAPF,True,9524,95,18.7
empty-48-48.map,2304,0,250,DCMAPF,True,9864,82,18.8
empty-48-48.map,2304,0,250,DCMAPF,True,8859,92,19.2
empty-48-48.map,2304,0,300,DCMAPF,True,11416,84,25.5
empty-48-48.map,2304,0,300,DCMAPF,True,11107,81,25.6
empty-48-48.map,2304,0,300,DCMAPF,True,11683,81,25.8
empty-48-48.map,2304,0,300,DCMAPF,True,12025,82,25.9
empty-48-48.map,2304,0,300,DCMAPF,True,11924,79,26.4
empty-48-48.map,2304,0,300,DCMAPF,True,11962,80,26.7
empty-48-48.map,2304,0,300,DCMAPF,True,11624,85,27.2
empty-48-48.map,2304,0,300,DCMAPF,True,12207,83,27.4
empty-48-48.map,2304,0,300,DCMAPF,True,11516,90,27.5
empty-48-48.map,2304,0,300,DCMAPF,True,11692,89,27.6
empty-48-48.map,2304,0,300,DCMAPF,True,11776,86,27.7
empty-48-48.map,2304,0,300,DCMAPF,True,11784,84,27.7
empty-48-48.map,2304,0,300,DCMAPF,True,12369,87,27.9
empty-48-48.map,2304,0,300,DCMAPF,True,12491,86,27.9
empty-48-48.map,2304,0,300,DCMAPF,True,12275,87,28.1
empty-48-48.map,2304,0,300,DCMAPF,True,12395,86,28.1
empty-48-48.map,2304,0,300,DCMAPF,True,11797,89,28.3
empty-48-48.map,2304,0,300,DCMAPF,True,12048,95,28.5
empty-48-48.map,2304,0,300,DCMAPF,True,11952,89,28.8
empty-48-48.map,2304,0,300,DCMAPF,True,11938,94,28.8
empty-48-48.map,2304,0,300,DCMAPF,True,11538,93,28.9
empty-48-48.map,2304,0,300,DCMAPF,True,12434,94,29.2
empty-48-48.map,2304,0,300,DCMAPF,True,11672,101,30.1
empty-48-48.map,2304,0,300,DCMAPF,True,11892,110,31.9
empty-48-48.map,2304,0,300,DCMAPF,True,12879,100,32.0
empty-48-48.map,2304,0,350,DCMAPF,True,14532,83,37.6
empty-48-48.map,2304,0,350,DCMAPF,True,14727,84,37.9
empty-48-48.map,2304,0,350,DCMAPF,True,13998,89,39.8
empty-48-48.map,2304,0,350,DCMAPF,True,14328,87,40.7
empty-48-48.map,2304,0,350,DCMAPF,True,15199,91,41.2
empty-48-48.map,2304,0,350,DCMAPF,True,15323,91,42.2
empty-48-48.map,2304,0,350,DCMAPF,True,14717,89,42.6
empty-48-48.map,2304,0,350,DCMAPF,True,15086,95,42.6
empty-48-48.map,2304,0,350,DCMAPF,True,14351,95,42.6
empty-48-48.map,2304,0,350,DCMAPF,True,15360,92,42.7
empty-48-48.map,2304,0,350,DCMAPF,True,14442,90,42.9
empty-48-48.map,2304,0,350,DCMAPF,True,15120,93,43.1
empty-48-48.map,2304,0,350,DCMAPF,True,15506,95,43.2
empty-48-48.map,2304,0,350,DCMAPF,True,14668,99,43.6
empty-48-48.map,2304,0,350,DCMAPF,True,15410,102,44.5
empty-48-48.map,2304,0,350,DCMAPF,True,15505,104,44.9
empty-48-48.map,2304,0,350,DCMAPF,True,15004,103,44.8
empty-48-48.map,2304,0,350,DCMAPF,True,14141,99,45.0
empty-48-48.map,2304,0,350,DCMAPF,True,15008,98,45.2
empty-48-48.map,2304,0,350,DCMAPF,True,15265,99,45.3
empty-48-48.map,2304,0,350,DCMAPF,True,14845,106,46.6
empty-48-48.map,2304,0,350,DCMAPF,True,15182,97,47.1
empty-48-48.map,2304,0,350,DCMAPF,True,15369,109,48.5
empty-48-48.map,2304,0,350,DCMAPF,True,16026,118,51.3
empty-48-48.map,2304,0,350,DCMAPF,True,16223,121,51.7
empty-48-48.map,2304,0,400,DCMAPF,True,18305,95,58.5
empty-48-48.map,2304,0,400,DCMAPF,True,17664,96,59.0
empty-48-48.map,2304,0,400,DCMAPF,True,17936,101,62.2
empty-48-48.map,2304,0,400,DCMAPF,True,17053,106,62.3
empty-48-48.map,2304,0,400,DCMAPF,True,17580,100,63.5
empty-48-48.map,2304,0,400,DCMAPF,True,17562,104,63.9
empty-48-48.map,2304,0,400,DCMAPF,True,17926,105,64.0
empty-48-48.map,2304,0,400,DCMAPF,True,17814,102,65.4
empty-48-48.map,2304,0,400,DCMAPF,True,17939,106,67.6
empty-48-48.map,2304,0,400,DCMAPF,True,19048,107,67.8
empty-48-48.map,2304,0,400,DCMAPF,True,18865,107,68.5
empty-48-48.map,2304,0,400,DCMAPF,True,19635,103,68.7
empty-48-48.map,2304,0,400,DCMAPF,True,18407,118,69.9
empty-48-48.map,2304,0,400,DCMAPF,True,19230,109,70.4
empty-48-48.map,2304,0,400,DCMAPF,True,18210,118,70.5
empty-48-48.map,2304,0,400,DCMAPF,True,19526,111,70.5
empty-48-48.map,2304,0,400,DCMAPF,True,18695,107,71.2
empty-48-48.map,2304,0,400,DCMAPF,True,18704,117,71.7
empty-48-48.map,2304,0,400,DCMAPF,True,19162,123,72.0
empty-48-48.map,2304,0,400,DCMAPF,True,18738,121,72.6
empty-48-48.map,2304,0,400,DCMAPF,True,19337,110,72.8
empty-48-48.map,2304,0,400,DCMAPF,True,19317,131,76.6
empty-48-48.map,2304,0,400,DCMAPF,True,19507,119,76.8
empty-48-48.map,2304,0,400,DCMAPF,True,19961,123,77.0
empty-48-48.map,2304,0,400,DCMAPF,True,21233,132,83.0
empty-48-48.map,2304,0,450,DCMAPF,True,21665,100,82.8
empty-48-48.map,2304,0,450,DCMAPF,True,21635,110,90.5
empty-48-48.map,2304,0,450,DCMAPF,True,21937,109,91.2
empty-48-48.map,2304,0,450,DCMAPF,True,23227,120,98.6
empty-48-48.map,2304,0,450,DCMAPF,True,22274,114,98.6
empty-48-48.map,2304,0,450,DCMAPF,True,23497,120,100.1
empty-48-48.map,2304,0,450,DCMAPF,True,22348,112,100.8
empty-48-48.map,2304,0,450,DCMAPF,True,21686,123,102.3
empty-48-48.map,2304,0,450,DCMAPF,True,22800,116,105.7
empty-48-48.map,2304,0,450,DCMAPF,True,22758,132,107.4
empty-48-48.map,2304,0,450,DCMAPF,True,24355,122,107.6
empty-48-48.map,2304,0,450,DCMAPF,True,22877,126,108.9
empty-48-48.map,2304,0,450,DCMAPF,True,23773,130,112.4
empty-48-48.map,2304,0,450,DCMAPF,True,24527,125,113.6
empty-48-48.map,2304,0,450,DCMAPF,True,23650,149,117.4
empty-48-48.map,2304,0,450,DCMAPF,True,23003,136,117.8
empty-48-48.map,2304,0,450,DCMAPF,True,24075,126,120.7
empty-48-48.map,2304,0,450,DCMAPF,True,24244,141,120.8
empty-48-48.map,2304,0,450,DCMAPF,True,23833,131,121.2
empty-48-48.map,2304,0,450,DCMAPF,True,23885,128,122.4
empty-48-48.map,2304,0,450,DCMAPF,True,25207,146,123.8
empty-48-48.map,2304,0,450,DCMAPF,True,24916,131,125.3
empty-48-48.map,2304,0,450,DCMAPF,True,26172,145,131.1
empty-48-48.map,2304,0,450,DCMAPF,True,24251,146,152.1
empty-48-48.map,2304,0,450,DCMAPF,True,25157,168,153.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1306,53,0.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1357,49,0.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1296,55,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1212,46,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1253,48,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1214,49,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1298,48,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1293,49,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1131,45,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1405,57,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1424,50,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1200,56,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1328,54,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1340,47,0.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1316,52,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1384,51,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1407,61,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1496,62,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1403,55,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1476,51,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1339,58,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1472,55,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1482,57,0.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1310,74,0.8
random-32-32-20.map,1024,205,50,DCMAPF,True,1466,70,0.8
random-32-32-20.map,1024,205,100,DCMAPF,True,3143,67,2.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3140,68,2.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3109,64,2.7
random-32-32-20.map,1024,205,100,DCMAPF,True,3139,76,2.7
random-32-32-20.map,1024,205,100,DCMAPF,True,3236,68,2.8
random-32-32-20.map,1024,205,100,DCMAPF,True,3284,79,2.8
random-32-32-20.map,1024,205,100,DCMAPF,True,2933,68,2.9
random-32-32-20.map,1024,205,100,DCMAPF,True,3382,71,3.0
random-32-32-20.map,1024,205,100,DCMAPF,True,2954,75,3.0
random-32-32-20.map,1024,205,100,DCMAPF,True,3378,70,3.0
random-32-32-20.map,1024,205,100,DCMAPF,True,3221,83,3.0
random-32-32-20.map,1024,205,100,DCMAPF,True,3449,75,3.1
random-32-32-20.map,1024,205,100,DCMAPF,True,3270,79,3.2
random-32-32-20.map,1024,205,100,DCMAPF,True,3455,81,3.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3392,76,3.2
random-32-32-20.map,1024,205,100,DCMAPF,True,3316,75,3.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3821,72,3.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3517,84,3.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3451,79,3.4
random-32-32-20.map,1024,205,100,DCMAPF,True,3600,86,3.4
random-32-32-20.map,1024,205,100,DCMAPF,True,3203,87,3.5
random-32-32-20.map,1024,205,100,DCMAPF,True,3446,83,3.5
random-32-32-20.map,1024,205,100,DCMAPF,True,3515,78,3.5
random-32-32-20.map,1024,205,100,DCMAPF,True,3463,82,3.6
random-32-32-20.map,1024,205,100,DCMAPF,True,4185,106,4.8
random-32-32-20.map,1024,205,150,DCMAPF,True,6131,88,8.9
random-32-32-20.map,1024,205,150,DCMAPF,True,5806,101,9.0
random-32-32-20.map,1024,205,150,DCMAPF,True,6603,95,9.1
random-32-32-20.map,1024,205,150,DCMAPF,True,6262,91,9.1
random-32-32-20.map,1024,205,150,DCMAPF,True,5595,95,9.4
random-32-32-20.map,1024,205,150,DCMAPF,True,6162,99,9.4
random-32-32-20.map,1024,205,150,DCMAPF,True,6621,94,9.9
random-32-32-20.map,1024,205,150,DCMAPF,True,6482,118,10.2
random-32-32-20.map,1024,205,150,DCMAPF,True,6441,120,10.4
random-32-32-20.map,1024,205,150,DCMAPF,True,6693,121,11.0
random-32-32-20.map,1024,205,150,DCMAPF,True,6342,101,11.0
random-32-32-20.map,1024,205,150,DCMAPF,True,7118,114,11.1
random-32-32-20.map,1024,205,150,DCMAPF,True,7112,116,11.2
random-32-32-20.map,1024,205,150,DCMAPF,True,6990,121,11.2
random-32-32-20.map,1024,205,150,DCMAPF,True,6778,127,11.7
random-32-32-20.map,1024,205,150,DCMAPF,True,7133,121,11.8
random-32-32-20.map,1024,205,150,DCMAPF,True,7598,127,12.2
random-32-32-20.map,1024,205,150,DCMAPF,True,7283,113,12.3
random-32-32-20.map,1024,205,150,DCMAPF,True,6975,111,12.9
random-32-32-20.map,1024,205,150,DCMAPF,True,8106,150,14.1
random-32-32-20.map,1024,205,150,DCMAPF,True,8161,162,15.9
random-32-32-20.map,1024,205,150,DCMAPF,True,8109,138,16.0
random-32-32-20.map,1024,205,150,DCMAPF,True,7765,155,16.3
random-32-32-20.map,1024,205,150,DCMAPF,False,8029,600,35.9
random-32-32-20.map,1024,205,150,DCMAPF,False,7326,600,37.4
random-32-32-20.map,1024,205,200,DCMAPF,True,11270,137,23.3
random-32-32-20.map,1024,205,200,DCMAPF,True,11344,134,23.5
random-32-32-20.map,1024,205,200,DCMAPF,True,10982,136,23.9
random-32-32-20.map,1024,205,200,DCMAPF,True,11749,137,24.8
random-32-32-20.map,1024,205,200,DCMAPF,True,10488,153,25.0
random-32-32-20.map,1024,205,200,DCMAPF,True,11290,152,25.8
random-32-32-20.map,1024,205,200,DCMAPF,True,12480,147,26.2
random-32-32-20.map,1024,205,200,DCMAPF,True,12471,152,26.6
random-32-32-20.map,1024,205,200,DCMAPF,True,11392,142,26.7
random-32-32-20.map,1024,205,200,DCMAPF,True,11604,167,29.8
random-32-32-20.map,1024,205,200,DCMAPF,True,12152,166,29.9
random-32-32-20.map,1024,205,200,DCMAPF,True,14355,151,30.1
random-32-32-20.map,1024,205,200,DCMAPF,True,12553,158,31.0
random-32-32-20.map,1024,205,200,DCMAPF,True,12497,172,32.9
random-32-32-20.map,1024,205,200,DCMAPF,True,12919,191,34.5
random-32-32-20.map,1024,205,200,DCMAPF,True,14023,193,34.6
random-32-32-20.map,1024,205,200,DCMAPF,True,12164,229,35.6
random-32-32-20.map,1024,205,200,DCMAPF,True,14744,207,37.1
random-32-32-20.map,1024,205,200,DCMAPF,True,16295,175,37.7
random-32-32-20.map,1024,205,200,DCMAPF,True,14638,208,38.2
random-32-32-20.map,1024,205,200,DCMAPF,True,15070,199,39.2
random-32-32-20.map,1024,205,200,DCMAPF,True,16748,284,60.2
random-32-32-20.map,1024,205,200,DCMAPF,False,13132,600,69.1
random-32-32-20.map,1024,205,200,DCMAPF,False,14445,600,77.9
random-32-32-20.map,1024,205,200,DCMAPF,False,17183,600,84.7
random-64-64-20.map,4096,826,50,DCMAPF,True,2538,83,1.0
random-64-64-20.map,4096,826,50,DCMAPF,True,2559,80,1.1
random-64-64-20.map,4096,826,50,DCMAPF,True,2145,94,1.1
random-64-64-20.map,4096,826,50,DCMAPF,True,2403,82,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2179,98,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2399,91,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2315,82,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2385,86,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2502,83,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2231,85,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2446,83,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2228,88,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2336,84,1.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2223,96,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2168,101,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2489,90,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2595,101,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2516,89,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2400,97,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2374,95,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2360,117,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2271,95,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2342,93,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2286,92,1.3
random-64-64-20.map,4096,826,50,DCMAPF,True,2560,98,1.4
random-64-64-20.map,4096,826,100,DCMAPF,True,5008,83,3.6
random-64-64-20.map,4096,826,100,DCMAPF,True,4859,94,3.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4691,91,3.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4912,85,4.0
random-64-64-20.map,4096,826,100,DCMAPF,True,4783,97,4.0
random-64-64-20.map,4096,826,100,DCMAPF,True,4451,101,4.1
random-64-64-20.map,4096,826,100,DCMAPF,True,4892,95,4.2
random-64-64-20.map,4096,826,100,DCMAPF,True,4845,99,4.2
random-64-64-20.map,4096,826,100,DCMAPF,True,4648,99,4.2
random-64-64-20.map,4096,826,100,DCMAPF,True,4934,102,4.2
random-64-64-20.map,4096,826,100,DCMAPF,True,4849,92,4.3
random-64-64-20.map,4096,826,100,DCMAPF,True,5224,101,4.3
random-64-64-20.map,4096,826,100,DCMAPF,True,4761,104,4.3
random-64-64-20.map,4096,826,100,DCMAPF,True,4679,101,4.3
random-64-64-20.map,4096,826,100,DCMAPF,True,5145,106,4.3
random-64-64-20.map,4096,826,100,DCMAPF,True,4988,108,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,5185,92,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,4715,99,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,5118,103,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,5307,101,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,4883,100,4.4
random-64-64-20.map,4096,826,100,DCMAPF,True,5021,114,4.5
random-64-64-20.map,4096,826,100,DCMAPF,True,5103,111,4.5
random-64-64-20.map,4096,826,100,DCMAPF,True,5118,118,4.7
random-64-64-20.map,4096,826,100,DCMAPF,True,5001,111,4.7
random-64-64-20.map,4096,826,150,DCMAPF,True,7680,90,8.3
random-64-64-20.map,4096,826,150,DCMAPF,True,7224,93,8.4
random-64-64-20.map,4096,826,150,DCMAPF,True,7467,101,8.8
random-64-64-20.map,4096,826,150,DCMAPF,True,7533,104,8.8
random-64-64-20.map,4096,826,150,DCMAPF,True,7788,107,8.8
