map_name,map_size,obstacles_number,agents_number,sum_of_costs,is_done,steps_number,simulation_time
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18782,True,284,33333
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17579,True,227,19958
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17387,True,227,20608
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18160,True,233,21923
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18425,True,257,27099
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17914,True,206,18393
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17259,True,224,20649
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17809,True,220,20219
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17845,True,237,22874
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18172,True,216,19708
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17996,True,216,20206
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18387,True,248,25225
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18812,True,272,33384
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17661,True,199,16437
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18520,True,236,24294
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18303,True,230,24541
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,19348,True,278,32621
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17264,True,219,18159
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,17210,True,220,19268
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,16035,True,232,20733
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18644,True,264,27778
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18650,True,245,24173
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,16397,True,280,28651
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21306,True,226,27856
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22594,True,296,45716
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21114,True,237,29059
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21995,True,246,31803
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21503,True,296,43054
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22657,True,291,46084
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,20722,True,221,25788
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,20859,True,241,29291
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21655,True,262,35326
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22286,True,247,33199
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21542,True,206,24068
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22105,True,247,33095
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21503,True,286,39956
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22613,True,411,75862
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21459,True,226,27227
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22106,True,230,29629
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,22013,True,232,32288
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,23958,True,321,51533
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,20414,True,216,23548
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21919,True,247,32523
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,23053,True,240,31576
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,20682,True,285,39972
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,20293,True,251,31447
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21605,True,240,30673
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,210,21924,True,240,30558
